key,value,weight
0,339,342
1,1629,1514
2,697,696
3,1299,1433
4,1613,1762
5,36,40
6,1737,1635
7,473,442
8,1859,1899
9,2055,1960
10,362,378
11,1104,1177
12,1880,1970
13,1349,1434
14,1545,1691
15,132,139
16,341,371
17,1430,1350
18,1878,1775
19,1870,1980
20,1536,1651
21,818,814
22,289,282
23,1690,1573
24,1437,1587
25,310,302
26,53,56
27,720,726
28,1707,1820
29,258,269
30,1842,1680
31,757,842
32,1642,1730
33,1149,1243
34,1970,1794
35,749,775
36,1904,1810
37,2,3
38,967,970
39,1310,1261
40,1004,997
41,1295,1192
42,1056,1036
43,51,52
44,1320,1453
45,1580,1673
46,480,440
47,604,624
48,1766,1813
49,1198,1326
50,1762,1637
51,2046,1902
52,315,323
53,714,746
54,434,471
55,1461,1366
56,1652,1511
57,1876,1785
58,906,1002
59,1483,1560
60,1355,1403
61,510,513
62,2114,1958
63,1479,1505
64,1618,1538
65,1472,1378
66,310,315
67,1478,1493
68,970,1066
69,43,40
70,1231,1172
71,1792,1972
72,870,956
73,1484,1541
74,1049,1014
75,56,55
76,814,793
77,978,985
78,1215,1311
79,720,737
80,210,204
81,460,492
82,1798,1961
83,1944,1952
84,208,204
85,1836,1872
86,882,806
87,239,234
88,141,136
89,49,49
90,1352,1363
91,915,883
92,1318,1259
93,72,70
94,937,886
95,1783,1843
96,1253,1319
97,1268,1375
98,1144,1234
99,878,818
