key,value,weight
0,90000,90001
1,89750,89751
2,10001,10002
3,89500,89501
4,10252,10254
5,89250,89251
6,10503,10506
7,89000,89001
8,10754,10758
9,88750,88751
10,11005,11010
11,88500,88501
12,11256,11262
13,88250,88251
14,11507,11514
15,88000,88001
16,11758,11766
17,87750,87751
18,12009,12018
19,87500,87501
20,12260,12270
21,87250,87251
22,12511,12522
23,87000,87001
24,12762,12774
25,86750,86751
26,13013,13026
27,86500,86501
28,13264,13278
29,86250,86251
30,13515,13530
31,86000,86001
32,13766,13782
33,85750,85751
34,14017,14034
35,85500,85501
36,14268,14286
37,85250,85251
38,14519,14538
39,85000,85001
40,14770,14790
41,84750,84751
42,15021,15042
43,84500,84501
44,15272,15294
45,84250,84251
46,15523,15546
47,84000,84001
48,15774,15798
49,83750,83751
50,16025,16050
51,83500,83501
52,16276,16302
53,83250,83251
54,16527,16554
55,83000,83001
56,16778,16806
57,82750,82751
58,17029,17058
59,82500,82501
