key,value,weight
0,995,945
1,259,242
2,258,244
3,279,281
4,576,582
5,126,119
6,280,303
7,859,913
8,270,279
9,389,408
10,927,925
11,281,305
12,624,662
13,961,938
14,757,718
15,231,250
16,838,767
17,154,158
18,649,595
19,277,268
20,180,167
21,895,957
22,23,22
23,930,948
24,93,102
25,61,62
26,626,604
27,342,349
28,262,279
29,215,221
30,183,203
31,958,889
32,205,213
33,859,835
34,171,166
35,566,575
36,779,758
37,704,706
38,196,182
39,26,28
40,726,729
41,621,671
42,800,864
43,580,579
44,535,553
45,647,632
46,168,163
47,90,95
48,679,745
49,440,438
