key,value,weight
0,31860,76620
1,11884,28868
2,10492,25484
3,901,2502
4,43580,104660
5,9004,21908
6,6700,16500
7,29940,71980
8,7484,18268
9,5932,14564
10,7900,19300
11,6564,16028
12,6596,16092
13,8172,19844
14,5324,13148
15,8436,20572
16,7332,17964
17,6972,17044
18,7668,18636
19,6524,15948
20,6244,15388
21,635,1970
22,5396,13292
23,13596,32892
24,51188,122676
25,13684,33068
26,8596,20892
27,156840,375380
28,7900,19300
29,6460,15820
30,14132,34164
31,4980,12260
32,5216,12932
33,6276,15452
34,701,2102
35,3084,7868
36,6924,16948
37,5500,13500
38,3148,7996
39,47844,114788
40,226844,542788
41,25748,61996
42,7012,17124
43,3440,8580
44,15580,37660
45,314,1128
46,2852,7204
47,15500,37500
48,9348,22796
49,17768,42836
50,16396,39692
51,16540,39980
52,395124,944948
53,10196,24692
54,6652,16204
55,4848,11996
56,74372,178244
57,4556,11212
58,4900,12100
59,3508,8716
60,3820,9540
61,5460,13420
62,16564,40028
63,3896,9692
64,3832,9564
65,9012,21924
66,4428,10956
67,57796,138492
68,12052,29204
69,7052,17204
70,85864,205628
71,5068,12436
72,10484,25468
73,4516,11132
74,3620,9140
75,18052,43604
76,21,542
77,15804,38108
78,19020,45940
79,170844,408788
80,3732,9364
81,2920,7340
82,4120,10340
83,6828,16756
84,26252,63204
85,11676,28252
86,19916,47932
87,65488,156876
88,7172,17644
89,3772,9444
90,132868,318036
91,8332,20364
92,5308,13116
93,3780,9460
94,5208,12916
95,56788,136076
96,7172,17644
97,7868,19236
98,31412,75524
99,9252,22604
100,12276,29652
101,3712,9324
102,4516,11132
103,105876,253452
104,20084,48468
105,11492,27884
106,49092,117684
107,83452,199804
108,71372,171044
109,66572,159644
110,25268,60836
111,64292,154084
112,21228,51156
113,16812,40524
114,19260,46420
115,7740,18980
116,5632,13964
117,3256,8212
118,15580,37660
119,4824,11948
120,59700,143100
121,14500,35100
122,7208,17716
123,6028,14756
124,75716,181332
125,22364,53828
126,7636,18572
127,6444,15788
128,5192,12884
129,7388,18076
130,33156,79612
131,3032,7564
132,6628,16156
133,7036,17172
134,3200,8100
135,7300,17900
136,4452,11004
137,26364,63428
138,14036,33972
139,16932,40964
140,5788,14276
141,70476,168852
142,4552,11204
143,33980,81660
144,19300,46500
145,39628,95156
146,4484,11068
147,55044,131988
148,574,1848
149,29644,71188
150,9460,23020
151,106284,254468
152,304,1108
153,3580,8860
154,6308,15516
155,10492,25484
156,12820,31140
157,14436,34972
158,5044,12388
159,1155,3210
160,12468,30236
161,4380,10860
162,9876,24052
163,8752,21404
164,8676,21052
165,42848,102796
166,22844,54988
167,6244,15388
168,314,1128
169,314,1128
170,314,1128
171,314,1128
172,314,1128
173,314,1128
174,387480,926660
175,314,1128
176,314,1128
177,314,1128
178,314,1128
179,314,1128
180,15996,38692
181,8372,20444
182,65488,156876
183,304,1108
184,4756,11812
185,5012,12324
186,304,1108
187,314,1128
188,314,1128
189,314,1128
190,314,1128
191,314,1128
192,314,1128
193,314,1128
194,304,1108
195,1208,3316
196,47728,114556
197,314,1128
198,314,1128
199,314,1128
200,314,1128
201,314,1128
202,314,1128
203,104036,249172
204,5248,12996
205,312,1124
206,24468,58836
207,7716,18932
208,30180,72460
209,4824,11948
210,1120,3140
211,11496,27892
212,4916,12132
213,14428,34956
214,24948,59996
215,41100,98700
216,28692,69084
217,826,2352
218,3073,7846
219,7684,18868
220,5604,13708
221,17188,41476
222,34828,83756
223,7540,18380
224,8004,19508
225,2648,6796
226,5124,12748
227,3096,7892
228,166516,398532
229,13756,33212
230,9980,24260
231,15980,38660
232,9056,22012
233,5052,12404
234,8212,20124
235,11164,27028
236,13036,31572
237,23596,56892
238,2028,5156
239,7584,18468
240,5772,14244
241,4124,10348
242,5368,13236
243,4364,10828
244,5604,13708
245,8500,20700
246,7676,18652
247,8636,20972
248,4588,11276
249,4152,10404
250,4860,12020
251,5484,13468
252,8636,20972
253,5140,12780
254,236380,565460
255,116500,278900
256,36480,87660
257,16968,41036
258,5232,12964
259,13280,32060
260,138032,330364
261,9044,21988
262,22028,53156
263,4632,11564
264,13196,31892
265,65404,156708
266,28940,69580
267,865,2430
268,45988,110276
269,670,2040
270,4820,11940
271,41356,99212
272,39844,95588
273,897,2494
274,4028,9956
275,7924,19348
276,47756,114612
277,47036,112772
278,25908,62316
279,4516,11132
280,29460,70820
281,7964,19428
282,16964,41028
283,22196,53492
284,68140,163380
285,80924,193948
286,63700,152700
287,20860,50220
288,1682,4464
289,16804,40508
290,3195,8090
291,60348,144596
292,1901,4902
293,67468,161636
294,4772,11844
295,11196,27092
296,25836,62172
297,49676,119252
298,6188,15276
299,15588,37676
