key,value,weight
0,11264,10483
1,3619,3407
2,8178,7509
3,14020,14670
4,14436,14975
5,12955,13037
6,15258,15504
7,5733,5615
8,11573,11176
9,3854,3597
10,12351,12375
11,14252,14094
12,14893,16415
13,7743,8479
14,3235,3336
15,17432,16240
16,12031,11200
17,19057,18379
18,9910,9036
19,6524,6929
20,16201,16528
21,12129,11283
22,17895,17879
23,6264,5738
24,9223,9120
25,2115,2291
26,140,133
27,5387,5707
28,5469,5449
29,19423,19202
30,12708,14077
31,12445,13535
32,4039,4015
33,17476,17040
34,14556,14447
35,4138,4428
36,14709,14111
37,13840,12968
38,18602,19095
39,17559,16178
40,3181,2962
41,4366,4461
42,11277,10553
43,7636,7177
44,4496,4138
45,10605,10270
46,5754,5829
47,1531,1477
48,4301,4370
49,10745,11315
50,8288,7922
51,8831,9747
52,20397,19968
53,12886,11935
54,13644,13860
55,9823,9083
56,16368,16948
57,16507,17102
58,8456,8839
59,6646,6045
60,7541,7992
61,11862,12006
62,4094,3923
63,18307,17718
64,5058,5567
65,6027,6055
66,14515,16104
67,18273,17146
68,8405,9063
69,14384,15981
70,8622,8369
71,19918,19513
72,5685,5753
73,21016,19978
74,16395,17091
75,6352,5884
76,38,38
77,2881,2638
78,12467,12412
79,4882,5126
80,15580,14217
81,13646,13409
82,19153,19334
83,16726,16437
84,10088,10633
85,15724,17413
86,8905,8851
87,5780,5823
88,921,1013
89,5257,5430
90,16771,15328
91,84,88
92,9063,9448
93,5522,5515
94,11864,12051
95,9134,8712
96,9506,8772
97,6421,6420
98,9883,10815
99,18961,17495
100,4080,3736
101,13077,12571
102,14824,13565
103,13782,15011
104,20925,19132
105,10517,10213
106,11094,10674
107,663,614
108,16588,15762
109,15303,15632
110,5582,5486
111,1268,1266
112,10959,12004
113,914,852
114,16522,16616
115,12721,11574
116,5356,5802
117,7068,6980
118,8840,8324
119,5479,5912
120,8068,8419
121,8010,8236
122,17378,18159
123,6726,7386
124,1007,920
125,8771,9746
126,365,383
127,19226,17751
128,4595,4670
129,6962,7062
130,12902,12789
131,14625,15012
132,11328,12466
133,2237,2419
134,16307,16412
135,16238,17489
136,6923,6556
137,4789,4382
138,7427,7785
139,19180,18183
140,16913,17710
141,12851,13092
142,5285,5178
143,3650,3818
144,7638,7716
145,9630,10221
146,14215,14137
147,12565,13526
148,9011,8516
149,15475,16797
150,12491,13784
151,10189,9444
152,15038,13885
153,9187,9231
154,17232,15925
155,7717,8131
156,604,617
157,2270,2394
158,11363,11957
159,7923,7680
160,17028,16620
161,14418,13294
162,6735,7401
163,17592,16065
164,11624,12020
165,366,405
166,558,558
167,6398,6147
168,13816,15129
169,11737,11220
170,10027,10278
171,6067,6145
172,18156,16732
173,1704,1833
174,2780,2882
175,16093,15150
176,16292,16841
177,18073,19180
178,14625,14329
179,5524,5591
180,2174,2262
181,1509,1456
182,10701,10479
183,15543,16547
184,16212,16932
185,663,640
186,4820,4689
187,4469,4628
188,13251,13531
189,9782,9892
190,3376,3637
191,14537,13446
192,6393,6127
193,18091,19387
194,1007,924
195,4719,4973
196,2731,2623
197,7361,8001
198,18781,18450
199,7485,8216
200,9681,10194
201,129,136
202,7447,7402
203,14375,15186
204,14861,14138
205,18704,19040
206,2223,2307
207,1925,1949
208,3543,3346
209,12981,12688
210,253,231
211,9354,8855
212,17008,18338
213,6065,6300
214,12008,11561
215,6213,6550
216,4830,4567
217,4938,5279
218,17459,17412
219,16362,15693
220,14750,14733
221,12605,11952
222,11942,11616
223,4622,4295
224,6006,5927
225,6941,6655
226,17838,17646
227,16131,16040
228,6518,7186
229,4877,4758
230,11131,10888
231,2421,2577
232,595,584
233,6092,6105
234,18411,17908
235,16526,16219
236,12241,13224
237,3340,3144
238,14182,14848
239,9390,9304
240,13642,13824
241,10644,11066
242,4466,4356
243,2603,2454
244,10392,10597
245,7346,7010
246,2234,2213
247,2395,2397
248,17634,17463
249,6501,6027
250,6445,6862
251,16564,16302
252,13834,14528
253,4588,4445
254,10163,9590
255,3926,4196
256,3998,3987
257,3314,3255
258,2390,2366
259,1856,1908
260,6930,6862
261,17224,17876
262,8160,8434
263,12400,12398
264,12125,13146
265,7655,7241
266,10318,10245
267,9013,8251
268,13327,14408
269,11594,12226
270,7908,7863
271,7858,7454
272,10983,11347
273,18153,18026
274,6887,6704
275,5399,5557
276,960,994
277,12768,12929
278,5096,5508
279,9668,9751
280,8968,9060
281,9286,9733
282,8823,8622
283,5024,4630
284,3718,3571
285,12738,13068
286,9113,8790
287,17931,19516
288,10972,11124
289,13488,13158
290,1150,1101
291,102,111
292,332,339
293,2796,2813
294,16837,18190
295,14485,14222
296,5471,5353
297,10015,9621
298,6774,6493
299,4878,4467
300,6273,6679
301,5822,5774
302,11833,11049
303,9377,9456
304,16007,16842
305,1336,1375
306,10170,10858
307,6281,6612
308,11622,10615
309,5176,4826
310,20988,19301
311,9063,8773
312,13178,13565
313,17630,18381
314,17941,16773
315,13622,12709
316,15146,16200
317,7554,7100
318,12055,12577
319,4613,4912
320,16116,17769
321,4613,5066
322,21495,19995
323,7256,6905
324,14024,13920
325,7120,7374
326,15524,14333
327,10670,10674
328,11541,12469
329,1208,1280
330,11355,11675
331,19585,18402
332,9217,10104
333,17452,17611
334,2779,2773
335,12244,12590
336,15347,13958
337,8243,8410
338,7508,7475
339,5097,5395
340,18521,19876
341,15819,14509
342,8774,9449
343,14418,13159
344,12593,12291
345,19647,18594
346,8278,8723
347,652,701
348,980,1020
349,11509,11246
350,17117,16407
351,3521,3775
352,15894,16115
353,3112,3203
354,8734,9607
355,8558,9300
356,17881,17110
357,3342,3210
358,17426,17662
359,17669,19481
360,221,221
361,3937,4264
362,8743,8576
363,9075,9961
364,15538,14505
365,7189,6778
366,16607,16508
367,3323,3255
368,18143,19430
369,5065,4794
370,3040,3147
371,2180,2321
372,20323,19499
373,10685,9945
