key,value,weight
0,45276,45276
1,90552,90552
2,181104,181104
3,362208,362208
4,724416,724416
5,1448832,1448832
6,2897664,2897664
7,5795328,5795328
8,11590656,11590656
9,23181312,23181312
10,46362624,46362624
11,92725248,92725248
12,70778,70778
13,141556,141556
14,283112,283112
15,566224,566224
16,1132448,1132448
17,2264896,2264896
18,4529792,4529792
19,9059584,9059584
20,18119168,18119168
21,36238336,36238336
22,72476672,72476672
23,86911,86911
24,173822,173822
25,347644,347644
26,695288,695288
27,1390576,1390576
28,2781152,2781152
29,5562304,5562304
30,11124608,11124608
31,22249216,22249216
32,44498432,44498432
33,88996864,88996864
34,92634,92634
35,185268,185268
36,370536,370536
37,741072,741072
38,1482144,1482144
39,2964288,2964288
40,5928576,5928576
41,11857152,11857152
42,23714304,23714304
43,47428608,47428608
44,94857216,94857216
45,97839,97839
46,195678,195678
47,391356,391356
48,782712,782712
49,1565424,1565424
50,3130848,3130848
51,6261696,6261696
52,12523392,12523392
53,25046784,25046784
54,50093568,50093568
55,100187136,100187136
56,125941,125941
57,251882,251882
58,503764,503764
59,1007528,1007528
60,2015056,2015056
61,4030112,4030112
62,8060224,8060224
63,16120448,16120448
64,32240896,32240896
65,64481792,64481792
66,134269,134269
67,268538,268538
68,537076,537076
69,1074152,1074152
70,2148304,2148304
71,4296608,4296608
72,8593216,8593216
73,17186432,17186432
74,34372864,34372864
75,68745728,68745728
76,141033,141033
77,282066,282066
78,564132,564132
79,1128264,1128264
80,2256528,2256528
81,4513056,4513056
82,9026112,9026112
83,18052224,18052224
84,36104448,36104448
85,72208896,72208896
86,147279,147279
87,294558,294558
88,589116,589116
89,1178232,1178232
90,2356464,2356464
91,4712928,4712928
92,9425856,9425856
93,18851712,18851712
94,37703424,37703424
95,75406848,75406848
96,153525,153525
97,307050,307050
98,614100,614100
99,1228200,1228200
100,2456400,2456400
101,4912800,4912800
102,9825600,9825600
103,19651200,19651200
104,39302400,39302400
105,78604800,78604800
