key,value,weight
0,122416,120553
1,171513,179530
2,71709,76916
3,30363,28113
4,131225,120582
5,33759,32535
6,40880,43263
7,203267,185377
8,132025,136991
9,92508,85416
10,33323,32725
11,120889,115377
12,123919,125990
13,156914,157002
14,165914,151158
15,68590,66466
16,128882,122615
17,63477,61894
18,59609,58667
19,162659,156404
20,140255,154967
21,81587,89693
22,192056,194502
23,64814,71996
24,10665,11062
25,109588,102286
26,170130,168996
27,162920,177197
28,173511,185263
29,19198,20493
30,28331,31275
31,11018,10705
32,113233,121157
33,192217,196939
34,122770,115598
35,159373,156431
36,134988,130086
37,43146,42098
38,70420,73158
39,171049,169636
40,154108,169769
41,198256,193447
42,83735,84312
43,53932,59563
44,4199,4305
45,131792,134920
46,33044,35347
47,179421,184727
48,706,649
49,136170,126958
50,41181,44240
51,67246,65846
52,108434,114791
53,134952,129706
54,124205,135730
55,3077,3117
56,153939,170667
57,131352,142408
58,108884,100582
59,154292,158464
60,69089,74110
61,83454,84752
62,173593,187553
63,25705,26824
64,131269,126581
65,82123,77570
66,196053,184998
67,31917,35324
68,1930,2062
69,541,599
70,62546,67967
71,56482,52459
72,166450,179504
73,32077,32197
74,16476,16129
75,93336,92798
76,145974,147308
77,106077,101817
78,52475,50314
79,46203,49144
80,152536,148223
81,145968,152219
82,174200,187844
83,9912,10679
84,160709,158671
85,141547,146831
86,199436,187873
87,204448,189618
88,159658,169452
89,51475,48945
90,126770,121310
91,18488,18042
92,31938,34894
93,148573,137237
94,10858,11458
95,120829,110971
96,77193,73499
97,49714,52942
98,125877,138782
99,99979,91834
100,40251,44383
101,160390,167718
102,109197,106892
103,137809,132886
104,115953,114323
105,18849,17248
106,12594,13105
107,182379,175112
108,161402,174232
109,149386,140539
110,39093,41980
111,187252,184357
112,37349,41467
113,23861,25839
114,25589,25383
115,11180,12376
116,141743,138737
117,94810,96751
118,16017,16243
119,36323,35626
120,65081,66649
121,29789,31142
122,146562,150509
123,27510,26940
124,129515,139071
125,140581,146236
126,144966,142957
127,160707,172169
128,122113,115988
129,21655,20241
130,6521,6483
131,143861,146919
132,46792,48056
133,68682,72318
134,47769,49674
135,171487,158084
136,103165,113395
137,21715,20632
138,180184,190663
139,156738,146602
140,106642,106357
141,156196,171374
142,86873,95753
143,268,253
144,192110,195227
145,39895,39880
146,149501,141080
147,55885,53497
148,162027,156522
149,93252,90280
150,86355,85831
151,7715,8118
152,12132,12755
153,9161,10058
154,47245,47539
155,117838,125862
156,84054,83312
157,162198,167717
158,77936,83139
159,158939,162003
160,134694,124099
161,149014,136680
162,175058,190568
163,43502,45667
164,88080,90171
165,111091,114816
166,138296,128924
167,104939,99605
168,26642,28719
169,135045,130255
170,31069,33252
171,50498,53507
172,151628,138466
173,184722,184883
174,51937,50192
175,54610,53408
176,40690,38912
177,136424,149383
178,177456,174520
179,63743,66937
180,74898,74013
181,86055,89370
182,12256,12670
183,83658,92342
184,72750,79418
185,37808,38907
186,93895,89232
187,81723,79511
188,23476,25665
189,40035,39087
190,198759,183268
191,162615,160504
192,35497,35078
193,49186,52086
194,114658,119931
195,147511,158415
196,82462,87621
197,114533,105867
198,119231,129696
199,125946,120683
200,152843,148648
201,65856,61986
202,152027,165416
203,131186,130740
204,90775,99456
205,170691,160106
206,28855,30642
207,201138,190127
208,98338,95945
209,29947,29387
210,141379,131302
211,168194,181625
212,44537,44648
213,140180,139430
214,39446,37047
215,36956,34505
216,134510,145774
217,95769,92441
218,84403,89315
219,79207,83568
220,179146,186963
221,43995,41978
222,91102,90287
223,87674,82009
224,115472,111997
225,100860,96025
226,3302,3245
227,135067,134539
228,170938,156345
229,46682,43264
230,161280,170807
231,101303,112548
232,119506,126910
233,10798,9972
234,47050,48499
235,168524,167901
236,103108,100207
237,6634,6515
238,167842,155662
239,171434,182410
240,15412,15895
241,51947,57589
242,81641,84739
243,54248,53593
244,16561,17132
245,85479,90796
246,309,339
247,150593,139023
248,163815,168270
249,120422,127238
250,17563,17676
251,25348,28112
252,167018,159622
253,87515,86887
254,167846,179589
255,89902,84630
256,105956,102218
257,155002,168562
258,61582,56989
259,159747,145398
260,116280,125109
261,11060,10687
262,42862,44480
263,126488,134368
264,185569,197009
265,124267,135139
266,166801,177188
267,135350,149981
268,50317,52366
269,109377,107693
270,132030,128837
271,13973,12817
272,83138,81289
273,81905,80484
274,184819,177391
275,107097,118904
276,7568,8264
277,189832,172876
278,170554,160050
279,116812,118442
280,127674,125178
281,66932,63840
282,10370,10669
283,206862,195480
284,169095,171002
285,122109,117782
286,170588,156805
287,178623,170766
288,106268,103242
289,190232,185568
290,17704,18860
291,133142,147249
292,17082,18330
293,121413,129127
294,173831,190428
295,55010,58688
296,135627,126720
297,198273,190032
298,168688,165211
299,164932,150741
300,79720,72510
301,71141,70520
302,106565,101495
303,145758,135907
304,49704,46977
305,85739,86905
306,176077,162697
307,196085,182903
308,182289,181277
309,173514,173797
310,56861,57523
311,138864,134392
312,13936,13780
313,123018,123463
314,72348,66787
315,117482,116456
316,190776,181198
317,38585,38567
318,125507,116048
319,33922,36514
320,79444,81248
321,102529,111300
322,181593,183033
323,102876,98716
324,121800,129927
325,43539,44633
326,112644,108139
327,112991,120484
328,109876,108907
329,131723,130906
330,3578,3833
331,50409,46053
332,139725,128286
333,87525,94326
334,146217,159171
335,19839,21281
336,101604,105116
337,156682,166932
338,73550,68466
339,116228,116853
340,106174,111435
341,166013,156376
342,80594,74807
343,82228,87450
344,99579,100218
345,83615,82780
346,178085,180561
347,206526,191711
348,4431,4579
349,7746,8569
350,17158,18118
351,48645,46706
352,103613,111466
353,95695,94590
354,186562,171750
355,89186,81878
356,59548,62429
357,26253,25333
358,38471,40076
359,161469,169836
360,39780,39603
361,141664,153570
362,153503,154782
363,70391,65452
364,52704,49807
365,133846,145541
366,102507,107914
367,104664,105898
368,65878,66365
369,39529,43604
370,47858,43849
371,84649,87123
372,76845,71601
373,91489,95940
374,58049,62430
375,82675,83567
376,115775,109452
377,99592,101503
378,68328,63701
379,96945,89822
380,132302,134936
381,154831,161773
382,21770,21382
383,152858,160733
384,118786,122185
385,172387,177837
386,196275,196049
387,186706,177920
388,79395,77243
389,80974,89114
390,86872,93088
391,139286,130103
392,191052,183352
393,29069,29064
394,48565,48682
395,156488,149195
396,37297,33969
397,104945,101381
