key,value,weight
0,1491,3882
1,399,1298
2,77,654
3,969,2638
4,8485,20670
5,55,610
6,1904,4908
7,703,2106
8,657,2014
9,932,2564
10,1201,3302
11,1697,4494
12,462,1424
13,1201,3302
14,111632,267364
15,9044,21988
16,147380,352660
17,31852,76604
18,9044,21988
19,9300,22700
20,8660,21020
21,174684,418068
22,19844,47788
23,9044,21988
24,1635,4370
25,62788,150476
26,6932,16964
27,6308,15516
28,50,600
29,4600,11300
30,565204,1351508
31,7463,18226
32,2988,7476
33,9044,21988
34,9044,21988
35,4040,9980
36,137732,329764
37,7150,17400
38,9300,22700
39,177,854
40,372,1244
41,499,1498
42,15108,36516
43,11108,26916
44,2468,6236
45,1133,3166
46,1490,3880
47,865,2430
48,2468,6236
49,2468,6236
50,5974,14648
51,5972,14644
52,9532,23164
53,1872,4844
54,3964,9828
55,2799,7098
56,527708,1261916
57,7212,17724
58,3002,7504
59,21004,50708
60,47728,114556
61,565204,1351508
62,100600,240900
63,118920,284740
64,2822,7144
65,612,1924
66,6324,15548
67,9508,23116
68,9268,22636
69,11636,28172
70,210708,504116
71,2176944,5204588
72,930,2560
73,4481,11062
74,50,600
75,112,724
76,14434,34968
77,0,500
78,248,996
79,48,596
80,820,2340
81,278,1056
82,643,1986
83,1413,3726
84,1408,3716
85,0,500
86,2581,6662
87,287,1074
88,2040,5180
89,289,1078
90,1380,3660
91,372,1244
92,0,500
93,472,1444
94,360,1220
95,0,500
96,622,1944
97,3504,8708
98,5924,14548
99,2784,7068
