key,value,weight
0,13211,13211
1,26422,26422
2,52844,52844
3,105688,105688
4,211376,211376
5,422752,422752
6,845504,845504
7,1691008,1691008
8,3382016,3382016
9,6764032,6764032
10,13528064,13528064
11,27056128,27056128
12,54112256,54112256
13,13212,13212
14,26424,26424
15,52848,52848
16,105696,105696
17,211392,211392
18,422784,422784
19,845568,845568
20,1691136,1691136
21,3382272,3382272
22,6764544,6764544
23,13529088,13529088
24,27058176,27058176
25,54116352,54116352
26,39638,39638
27,79276,79276
28,158552,158552
29,317104,317104
30,634208,634208
31,1268416,1268416
32,2536832,2536832
33,5073664,5073664
34,10147328,10147328
35,20294656,20294656
36,40589312,40589312
37,81178624,81178624
38,52844,52844
39,105688,105688
40,211376,211376
41,422752,422752
42,845504,845504
43,1691008,1691008
44,3382016,3382016
45,6764032,6764032
46,13528064,13528064
47,27056128,27056128
48,54112256,54112256
49,66060,66060
50,132120,132120
51,264240,264240
52,528480,528480
53,1056960,1056960
54,2113920,2113920
55,4227840,4227840
56,8455680,8455680
57,16911360,16911360
58,33822720,33822720
59,67645440,67645440
60,79268,79268
61,158536,158536
62,317072,317072
63,634144,634144
64,1268288,1268288
65,2536576,2536576
66,5073152,5073152
67,10146304,10146304
68,20292608,20292608
69,40585216,40585216
70,81170432,81170432
71,92482,92482
72,184964,184964
73,369928,369928
74,739856,739856
75,1479712,1479712
76,2959424,2959424
77,5918848,5918848
78,11837696,11837696
79,23675392,23675392
80,47350784,47350784
81,94701568,94701568
