key,value,weight
0,1906,4912
1,41516,99732
2,23527,56554
3,559,1818
4,45136,108372
5,2625,6750
6,492,1484
7,1086,3072
8,5516,13532
9,4875,12050
10,7570,18440
11,4436,10972
12,620,1940
13,50897,122094
14,2129,5558
15,4265,10630
16,706,2112
17,2721,6942
18,16494,39888
19,29688,71276
20,3383,8466
21,2181,5662
22,96601,231302
23,1795,4690
24,7512,18324
25,1242,3384
26,2889,7278
27,2133,5566
28,103,706
29,4446,10992
30,11326,27552
31,3024,7548
32,217,934
33,13269,32038
34,281,1062
35,77174,184848
36,952,2604
37,15572,37644
38,566,1832
39,4103,10306
40,313,1126
41,14393,34886
42,1313,3526
43,348,1196
44,419,1338
45,246,992
46,445,1390
47,23552,56804
48,23552,56804
49,67,634
