key,value,weight
0,90001,90000
1,89751,89750
2,10002,10001
3,89501,89500
4,10254,10252
5,89251,89250
6,10506,10503
7,89001,89000
8,10758,10754
9,88751,88750
10,11010,11005
11,88501,88500
12,11262,11256
13,88251,88250
14,11514,11507
15,88001,88000
16,11766,11758
17,87751,87750
18,12018,12009
19,87501,87500
20,12270,12260
21,87251,87250
22,12522,12511
23,87001,87000
24,12774,12762
25,86751,86750
26,13026,13013
27,86501,86500
28,13278,13264
29,86251,86250
30,13530,13515
31,86001,86000
32,13782,13766
33,85751,85750
34,14034,14017
35,85501,85500
36,14286,14268
37,85251,85250
38,14538,14519
39,86131,86130
